DIA,HORA, , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14, .15, .16, .17, .18, .19, .20, .21, .22, .23, .24, .25, .26, .27, .28, .29, .30, .31,Unnamed: 0,Unnamed: 3,DIA.1,HORA.1,Hl Linea 2
2022-07-01,02:00:00,445620,445620.0833333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,03:00:00,445620,445620.125,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,04:00:00,445620,445620.1666666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,05:00:01,445620,445620.2083449074,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,06:00:01,445620,445620.2500115741,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,07:00:00,445620,445620.2916666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,08:00:00,445620,445620.3333333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,09:00:01,445620,445620.3750115741,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,10:00:00,445620,445620.4166666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,11:00:00,445620,445620.4583333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,12:00:00,445620,445620.5,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,13:00:00,445620,445620.5416666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,14:00:00,445620,445620.5833333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,15:00:00,445620,445620.625,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,16:00:00,445620,445620.6666666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,17:00:00,445620,445620.7083333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,18:00:00,445620,445620.75,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,19:00:00,445620,445620.7916666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,20:00:00,445620,445620.8333333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,21:00:00,445620,445620.875,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,22:00:00,445620,445620.9166666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,23:00:00,445620,445620.9583333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,23:59:00,445620,445620.9993055556,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,00:00:00,445630,445630.0,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,01:00:00,445630,445630.0416666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,02:00:00,445630,445630.0833333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,03:00:00,445630,445630.125,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,04:00:00,445630,445630.1666666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,05:00:00,445630,445630.2083333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,06:00:01,445630,445630.2500115741,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,07:00:00,445630,445630.2916666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,08:00:01,445630,445630.3333449074,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,09:00:01,445630,445630.3750115741,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,10:00:01,445630,445630.4166782408,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,11:00:00,445630,445630.4583333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,12:00:00,445630,445630.5,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,13:00:00,445630,445630.5416666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,14:00:00,445630,445630.5833333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,15:00:00,445630,445630.625,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,16:00:00,445630,445630.6666666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,17:00:00,445630,445630.7083333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,18:00:00,445630,445630.75,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,19:00:00,445630,445630.7916666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,20:00:01,445630,445630.8333449074,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,21:00:00,445630,445630.875,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,22:00:00,445630,445630.9166666666,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,23:00:00,445630,445630.9583333333,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,23:59:00,445630,445630.9993055556,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-03,00:00:00,445640,445640.0,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
