Mes / Año,Año + Mes,Agua Planta,EE Planta,ET Planta,Aire Planta,Unnamed: 6,Meta Agua Elab,Meta Agua Bodega,Meta Agua Cocina,Meta Agua Envas,Meta Agua Linea 2,Meta Agua Linea 3,Meta Agua Linea 4,Meta Agua Linea 5,Meta Agua Servicios,Meta Agua Planta de Agua,Meta Produccion Agua,Unnamed: 18,Meta EE Elaboracion,Meta EE Bodega,Meta EE Cocina,Meta EE Envasado,Meta EE Linea 2,Meta EE Linea 3,Meta EE Linea 4,Meta EE Linea 5,Meta EE Servicios,Meta EE Sala Maq,Meta EE Frio,Meta EE Aire,Meta EE CO2,Meta EE Caldera,Meta EE Eflu,Meta EE Agua ,Meta EE Resto Serv,Meta EE Resto Planta,Unnamed: 37,Meta ET Elab,Meta ET Bodega,Meta ET Cocina,Meta ET Envasado,Meta ET Linea 2,Meta ET Linea 3,Meta ET Linea 4,Meta ET Linea 5,Meta ET Servicios,Unnamed: 47,Meta Aire Elaboracion,Meta Aire Cocina,Meta Aire Bodega,Meta Aire Envasado,Meta Aire L2,Meta Aire L3,Meta Aire L4,Meta Aire L5,Meta Aire Servicios
2021-01-01,202101,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-02-01,202102,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-03-01,202103,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-04-01,202104,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-05-01,202105,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-06-01,202106,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-07-01,202107,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-08-01,202108,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-09-01,202109,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-10-01,202110,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
