DIA,HORA,Totalizador_Aire_L2,Totalizador_Aire_L3,Totaliador_Aire_L4,Totalizador_Aire_L5,Totalizador_Aire_Bodega,Totalizador_Aire_Cocina,Totalizador Sistema Kaeser,Tot Aire Expulsion,Tot Aire Servicio Logistica,Id
2022-07-01,02:00:00,6440.43,4903.54,3200.9,2143.08,17523.48,4837.57,54517.0,0.0,0.0,
2022-07-01,03:00:00,6529.94,4950.46,3273.15,2143.61,18048.57,5004.59,55649.0,0.0,0.0,
2022-07-01,04:00:00,6620.61,4997.8,3345.37,2146.73,18584.67,5175.24,56882.0,0.0,0.0,
2022-07-01,05:00:01,6712.13,5045.33,3417.79,2149.8,19118.36,5344.64,58115.0,0.0,0.0,
2022-07-01,06:00:01,6805.28,5093.2,3490.21,2153.06,19657.22,5515.17,59356.0,0.0,0.0,
2022-07-01,07:00:00,6902.12,5141.35,3562.89,2156.56,20196.42,5686.66,60606.0,0.0,0.0,
2022-07-01,08:00:00,6989.81,5188.19,3634.99,2157.12,20722.81,5854.16,61731.0,0.0,0.0,
2022-07-01,09:00:01,7075.45,5234.54,3707.34,2157.12,21236.63,6020.11,62843.0,0.0,0.0,
2022-07-01,10:00:00,7159.84,5279.75,3779.23,2157.12,21742.69,6185.36,63955.0,0.0,0.0,
2022-07-01,11:00:00,7243.83,5324.56,3850.75,2157.12,22248.49,6350.54,65066.0,0.0,0.0,
2022-07-01,12:00:00,7330.94,5371.66,3922.93,2158.07,22769.97,6517.95,66198.0,0.0,0.0,
2022-07-01,13:00:00,7431.4,5421.55,3995.33,2161.75,23331.87,6692.43,67402.0,0.0,0.0,
2022-07-01,14:00:00,7533.61,5472.67,4067.69,2164.6,23899.56,6868.41,68622.0,0.0,0.0,
2022-07-01,15:00:00,7634.05,5522.47,4139.57,2167.39,24456.71,7042.9,69832.0,0.0,0.0,
2022-07-01,16:00:00,7734.16,5571.91,4211.26,2170.26,25012.6,7217.12,71038.0,0.0,0.0,
2022-07-01,17:00:00,7833.08,5621.06,4282.59,2173.89,25565.25,7390.18,72228.0,0.0,0.0,
2022-07-01,18:00:00,7934.16,5670.99,4354.27,2176.69,26125.78,7565.06,73439.0,0.0,0.0,
