DIA,HORA,Totalizador_L2_Barriles,Totalizador_L3,Totaliador_Latas,Totalizador_Bodega,Totalizador_Tq_Pulmon,Totalizador_Filtracion,Id
2022-07-01,02:00:00,0,1128.0,3092.0,1083.12,11728.0,4491.0,
2022-07-01,03:00:00,0,1128.0,3092.0,1084.09,11840.0,4491.0,
2022-07-01,04:00:00,0,1128.0,3092.0,1085.08,11958.0,4491.0,
2022-07-01,05:00:01,0,1128.0,3092.0,1086.17,12066.0,4491.0,
2022-07-01,06:00:01,0,1128.0,3092.0,1087.25,12068.0,4491.0,
2022-07-01,07:00:00,0,1128.0,3092.0,1088.22,12068.0,4491.0,
2022-07-01,08:00:00,0,1128.0,3092.0,1089.19,12068.0,4491.0,
2022-07-01,09:00:01,0,1128.0,3092.0,1090.17,12068.0,4491.0,
2022-07-01,10:00:00,0,1128.0,3092.0,1091.14,12068.0,4491.0,
2022-07-01,11:00:00,0,1128.0,3092.0,1092.12,12085.0,4491.0,
2022-07-01,12:00:00,0,1128.0,3092.0,1093.09,12195.0,4491.0,
2022-07-01,13:00:00,0,1128.0,3092.0,1094.06,12271.0,4491.0,
2022-07-01,14:00:00,0,1128.0,3092.0,1095.04,12331.0,4491.0,
2022-07-01,15:00:00,0,1128.0,3092.0,1096.01,12391.0,4491.0,
2022-07-01,16:00:00,0,1128.0,3092.0,1096.99,12451.0,4491.0,
2022-07-01,17:00:00,0,1128.0,3092.0,1097.96,12510.0,4491.0,
2022-07-01,18:00:00,0,1128.0,3092.0,1098.93,12614.0,4491.0,
2022-07-01,19:00:00,0,1128.0,3092.0,1100.13,12669.0,4491.0,
2022-07-01,20:00:00,0,1128.0,3092.0,1101.15,12669.0,4491.0,
2022-07-01,21:00:00,0,1128.0,3092.0,1102.16,12669.0,4491.0,
2022-07-01,22:00:00,0,1128.0,3092.0,1103.2,12669.0,4491.0,
2022-07-01,23:00:00,0,1128.0,3092.0,1142.23,12807.0,4491.0,
2022-07-01,23:59:00,0,1128.0,3092.0,1278.98,13048.0,4574.0,
2022-07-02,00:00:00,0,0.0,0.0,0.0,0.0,0.0,
2022-07-02,01:00:00,0,0.0,0.0,133.94,243.0,147.0,
2022-07-02,02:00:00,0,0.0,0.0,277.53,503.0,292.0,
2022-07-02,03:00:00,0,0.0,41.0,398.92,765.0,374.0,
2022-07-02,04:00:00,0,20.0,251.0,544.57,1230.0,374.0,
2022-07-02,05:00:00,0,95.0,302.0,621.06,1518.0,486.0,
2022-07-02,06:00:01,0,160.0,302.0,676.28,1742.0,527.0,
