DIA,HORA,Totalizador Bba P1,Totalizador Bba P2,Totalizador Bba P4,Totalizador Bba Envasado,Totalizador Bba P51,Totalizador Bba Gas,Id
2022-07-01,02:00:00,481.25,3342.41,1906.69,1395.88,1019.31,0.0,
2022-07-01,03:00:00,481.25,3556.59,1906.69,1409.19,1131.81,0.0,
2022-07-01,04:00:00,481.25,3782.34,1906.69,1423.0,1244.31,0.0,
2022-07-01,05:00:01,481.25,4008.38,1906.69,1423.0,1356.88,0.0,
2022-07-01,06:00:01,481.25,4156.16,1906.69,1436.38,1469.38,0.0,
2022-07-01,07:00:00,481.25,4343.56,1906.69,1449.88,1581.78,0.0,
2022-07-01,08:00:00,481.25,4567.69,1906.69,1463.69,1694.28,0.0,
2022-07-01,09:00:01,481.25,4766.5,1906.69,1463.69,1806.88,0.0,
2022-07-01,10:00:00,481.25,4921.34,1906.69,1476.88,1919.28,0.0,
2022-07-01,11:00:00,481.25,5142.84,1906.69,1490.75,2031.78,0.0,
2022-07-01,12:00:00,481.25,5285.66,1906.69,1521.25,2144.28,0.0,
2022-07-01,13:00:00,481.25,5301.88,1906.69,1538.75,2256.78,0.0,
2022-07-01,14:00:00,481.25,5309.75,1906.69,1552.69,2369.28,0.0,
2022-07-01,15:00:00,481.25,5317.59,1906.69,1566.25,2481.78,0.0,
2022-07-01,16:00:00,481.25,5322.91,1906.69,1566.25,2594.28,0.0,
2022-07-01,17:00:00,487.05,5327.69,1906.69,1580.38,2706.75,0.0,
2022-07-01,18:00:00,493.89,5332.69,1906.69,1594.0,2819.25,0.0,
2022-07-01,19:00:00,499.45,5338.31,1906.69,1594.0,2931.75,0.0,
2022-07-01,20:00:00,511.2,5343.22,1906.69,1607.69,3044.25,0.0,
2022-07-01,21:00:00,514.22,5348.38,1906.69,1614.69,3156.75,0.0,
2022-07-01,22:00:00,523.06,5361.63,1906.69,1621.56,3269.25,0.0,
2022-07-01,23:00:00,534.56,5402.84,1906.69,1635.25,3381.75,0.0,
2022-07-01,23:59:00,571.06,5444.75,1906.69,1682.38,3492.38,0.0,
2022-07-02,00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,
2022-07-02,01:00:00,23.78,41.28,0.0,48.38,112.5,0.0,
2022-07-02,02:00:00,23.78,79.75,0.0,95.0,225.0,0.0,
2022-07-02,03:00:00,38.8,120.13,0.0,141.69,337.5,0.0,
