DIA,HORA,Tot L3. L4 y Planta de CO2,Tot A40/240/50/60/Centec/Filtro,Tot  A130/330/430,Tot  Trasiego,Tot A10/20,Tot Fermantacion_Cocina,Tot Reposo Inferior,Tot  Reposo Superior,Id,"Tot L3, L4 y Planta de CO2"
2022-07-01,02:00:00,2274.55,7049.82,27.27,721.5,,,,,,
2022-07-01,03:00:00,2344.03,7294.86,27.57,731.09,,,,,,
2022-07-01,04:00:00,2408.52,7538.59,27.87,740.94,,,,,,
2022-07-01,05:00:01,2481.1,7792.74,28.17,750.85,,,,,,
2022-07-01,06:00:01,2541.39,8046.29,28.47,761.04,,,,,,
2022-07-01,07:00:00,2604.28,8310.45,28.87,771.32,,,,,,
2022-07-01,08:00:00,2682.65,8582.91,29.07,781.56,,,,,,
2022-07-01,09:00:01,2750.82,8860.08,29.37,791.95,,,,,,
2022-07-01,10:00:00,2818.18,9144.16,29.57,802.1,,,,,,
2022-07-01,11:00:00,2890.15,9424.23,29.77,811.87,,,,,,
2022-07-01,12:00:00,2960.32,9709.01,29.97,821.45,,,,,,
2022-07-01,13:00:00,3030.29,9978.57,35.37,831.37,,,,,,
2022-07-01,14:00:00,3103.66,10232.12,47.77,841.91,,,,,,
2022-07-01,15:00:00,3167.63,10478.37,59.57,853.07,,,,,,
2022-07-01,16:00:00,3204.26,10728.69,70.47,864.74,,,,,,
2022-07-01,17:00:00,3245.8,10979.9,80.97,876.36,,,,,,
2022-07-01,18:00:00,3274.73,11233.21,91.27,888.28,,,,,,
2022-07-01,19:00:00,3307.86,11493.09,101.87,900.34,,,,,,
2022-07-01,20:00:00,3347.5,11764.63,112.37,912.41,,,,,,
2022-07-01,21:00:00,3382.53,12036.86,123.27,924.73,,,,,,
2022-07-01,22:00:00,3407.16,12297.24,133.07,937.27,,,,,,
2022-07-01,23:00:00,3452.3,12601.74,140.67,949.45,,,,,,
2022-07-01,23:59:00,3497.15,12927.96,148.47,961.41,,,,,,
2022-07-02,00:00:00,0.0,0.0,0.0,0.0,,,,,,
2022-07-02,01:00:00,31.63,331.7,7.0,27.5,,,,,,
2022-07-02,02:00:00,58.16,648.16,15.7,111.93,,,,,,
2022-07-02,03:00:00,92.19,961.63,23.8,164.69,,,,,,
2022-07-02,04:00:00,111.21,1069.9,25.5,168.95,,,,,,
2022-07-02,05:00:00,111.21,1069.9,25.5,168.95,,,,,,
2022-07-02,06:00:01,111.21,1069.9,25.5,168.95,,,,,,
2022-07-02,07:00:00,120.71,1110.8,26.1,171.04,,,,,,
2022-07-02,08:00:01,121.41,1099.1,26.1,171.23,,,,,,
2022-07-02,09:00:01,274.91,1363.81,30.9,203.68,,,,,,
2022-07-02,10:00:01,390.42,1619.42,35.4,270.5,,,,,,
2022-07-02,11:00:00,517.52,1895.15,39.9,336.17,,,,,,
2022-07-02,12:00:00,637.43,2180.58,43.6,401.73,,,,,,
2022-07-02,13:00:00,727.01,2492.3,49.3,467.96,,,,,,
2022-07-02,14:00:00,820.88,2796.23,50.3,536.93,,,,,,
2022-07-02,15:00:00,909.36,3097.96,50.4,602.85,,,,,,
2022-07-02,16:00:00,972.85,3373.4,50.7,672.43,,,,,,
2022-07-02,17:00:00,1053.33,3647.77,51.2,695.32,,,,,,
2022-07-02,18:00:00,1234.78,3928.84,51.5,800.69,,,,,,
2022-07-02,19:00:00,1579.8,4213.72,51.7,922.18,,,,,,
2022-07-02,20:00:01,1627.19,4483.48,51.9,995.39,,,,,,
2022-07-02,21:00:00,1683.37,4787.68,52.1,61.11,,,,,,
2022-07-02,22:00:00,1763.15,5109.49,52.3,139.24,,,,,,
2022-07-02,23:00:00,1802.64,5394.67,52.5,210.53,,,,,,
2022-07-02,23:59:00,1823.74,5705.68,52.7,284.75,,,,,,
2022-07-03,00:00:00,0.0,0.0,0.0,0.0,,,,,,
2022-07-03,01:00:01,51.79,301.99,0.3,75.15,,,,,,
2022-07-03,02:00:00,127.37,578.96,0.5,150.19,,,,,,
2022-07-03,03:00:00,147.86,916.79,0.6,221.96,,,,,,
2022-07-03,04:00:01,231.64,1230.8,0.8,282.82,,,,,,
2022-07-03,05:00:00,270.13,1495.76,1.2,338.61,,,,,,
2022-07-03,06:00:00,329.72,1748.81,1.8,395.39,,,,,,
2022-07-03,07:00:00,356.64,2026.68,2.9,408.05,,,,,,
2022-07-03,08:00:00,382.86,2337.88,3.2,461.01,,,,,,
2022-07-03,09:00:01,449.23,2602.24,3.5,519.13,,,,,,
2022-07-03,10:00:00,518.3,2839.17,4.5,531.21,,,,,,
2022-07-03,11:00:00,562.64,3128.55,4.8,543.51,,,,,,
2022-07-03,12:00:00,635.91,3418.94,5.0,587.73,,,,,,
2022-07-03,13:00:00,729.9,3692.31,5.1,646.44,,,,,,
2022-07-03,14:00:00,797.97,3956.97,5.2,712.05,,,,,,
