DIA,Servicios (Kw),KW Gral Planta,Planta (Kw),Agua Planta (Hl),Planta de agua (Hl),Frio (Kw),KW Trafo 10,Produccion (Hl),Totalizador Sistema Kaeser,Aire Producido (M3),Kw Compresores Aire,Hl de Mosto,Aire (Kw),Elaboracion (Kw),Aire Planta (M3),Temp Tq Intermedio,Pta Agua / Eflu (Kw),KW Secador Kaeser,Bodega (Kw),KW Trafo 11,KW Trafo 9,Efluentes (Kw),KW Trafo 5,Agua Cond REC,KW Enfluente Efl,KW Obrador Contratistas,Hl Producido Bodega,KW Cond 5. 6 y 9,KW Planta de Agua,Tot L3. L4 y Planta de CO2,Anio,Mes,Dia,Dia_semana,Temperatura_amb,Tarifa_electrica,estacion
2020-07-01,23848.0,59058.0,27637.27,10280.0,11241.4,23954.0,6046.25,2398.0,31871.0,31871.0,4031.0,0.0,4265.0,2027.25,26192.02,-3.0,970.0,234.0,2968.0,11920.0,1637.75,741.0,1124.0,231.21,730.0,41.0,43.0,614.0,43.0,0.0,2020,7,1,Miercoles,18.919,103385983.27596001,Verano
2020-07-02,38033.0,131184.0,54409.81,13970.0,22107.77,28268.0,10108.12999999989,25148.5,51079.0,51079.0,5801.0,2907.0,6064.0,5391.129999999888,43136.07,1.0,-6907.0,263.0,5595.879999999888,18592.0,17288.75,855.0,1654.0,284.21,816.0,-7603.0,7005.025,1073.0,-8533.0,0.0,2020,7,2,Jueves,21.044,191547098.33297476,Verano
2020-07-03,42565.5,136078.0,65685.59,36300.0,46955.43,24246.0,9177.75,29365.0,62958.0,62958.0,7131.0,4829.0,7473.0,6437.75,45528.85000000001,-1.0,1926.0,342.0,6237.5,18486.0,17260.75,895.0,1665.5,297.53,856.0,75.0,7463.25,1083.0,207.0,0.0,2020,7,3,Viernes,24.950249,226138241.79369497,Verano
2020-07-04,39650.0,139714.0,67098.54,40120.0,51124.18,29885.0,6717.25,32150.8,69435.0,69435.0,7784.0,7828.0,8102.0,5694.25,52367.43999999999,2.0,1956.0,318.0,4810.75,20510.0,18709.5,834.0,1648.0,279.63,794.0,83.0,12964.3,1031.0,224.0,0.0,2020,7,4,Sabado,25.5315,227587734.352335,Verano
2020-07-05,45385.0,146862.0,70600.64,38940.0,49146.08,24449.0,9527.25,30793.9,66431.0,66431.0,7527.0,6406.0,7798.0,7148.25,48039.29000000001,-2.0,1940.0,271.0,6394.75,22212.0,15220.5,814.0,1645.0,282.03,782.0,87.0,8908.975,1077.0,217.0,0.0,2020,7,5,Domingo,27.466917,241445236.27848503,Verano
2020-07-06,40436.5,141736.0,68138.89,36240.0,49278.82000000001,24435.0,9203.0,29631.0,66581.0,66581.0,7586.0,6188.0,7877.0,6618.0,48144.36,0.0,1952.0,291.0,6058.25,20958.0,18130.25,879.0,1323.5,258.74,853.0,73.0,9661.3,1084.0,233.0,0.0,2020,7,6,Lunes,26.873167,233020634.42394918,Verano
2020-07-07,39097.0,141396.0,67812.08,35010.0,45986.92,33401.0,8244.0,28547.0,60383.0,60383.0,6968.0,5474.0,7255.0,6082.0,44980.12,1.0,1898.0,287.0,5718.25,19930.0,18788.25,847.0,1340.0,277.13,814.0,80.0,10382.15,1081.0,225.0,0.0,2020,7,7,Martes,26.650251,229129523.54304835,Verano
2020-07-08,49066.5,165482.0,79875.78,39710.0,51427.17,30921.0,11269.75,32265.5,61677.0,61677.0,7059.0,6391.0,7340.0,8056.75,46397.39999999999,0.0,2037.0,281.0,7609.75,22282.0,18651.0,901.0,1607.5,291.53,863.0,96.0,11582.95,1085.0,241.0,0.0,2020,7,8,Miercoles,23.91275,268224676.71608585,Verano
2020-07-09,46922.0,153256.0,74181.94,39940.0,48602.25,27721.0,11213.25,32783.6,58646.0,58646.0,6707.0,9556.0,7029.0,7413.25,44345.82000000001,0.0,2002.0,322.0,6557.25,23802.0,18767.0,862.0,1614.0,228.42,821.0,75.0,12901.8,1084.0,215.0,0.0,2020,7,9,Jueves,24.302332,253576366.69089085,Verano
2020-07-10,43973.5,139764.0,67452.42,34340.0,41454.66,29046.0,10506.87000000011,27230.8,58144.0,58144.0,6622.0,6508.0,6901.0,5612.870000000112,42511.72000000002,-1.0,1538.0,279.0,5240.120000000112,20856.0,18780.25,565.0,1604.5,212.71,532.0,83.0,11270.525,1080.0,192.0,0.0,2020,7,10,Viernes,27.685667,231729241.91012773,Verano
